Section,Order,Curve ID,Track,Type,Asset Name,Start Chainage (km),TS (m),SC (m),CS (m),ST (m),End Chainage (km),Curve Length (m) ,Radius (m),Classification,Hand,Superelevation Design (mm),Track Gradient (%)
TUL,1,,,Tangent,CB_TG_001_0.000,0,,,,,-2.051,2051,,Tangent,,,0
TUL,2,ML1,,Curve,CB_CV_001_2.051,-2.051,-,-,-,-,-0.129,1922,-1000,Sharp Curve,LH,0,0
TUL,3,,,Tangent,CB_TG_002_0.128,-0.128,,,,,0.135,263,,Tangent,,,0
TUL,4,ML2,,Curve,CB_CV_002_0.136,0.136,-,-,-,-,1.848,1712,-660,Sharp Curve,LH,0,0
TUL,5,,,Tangent,CB_TG_003_1.849,1.849,,,,,2.688,839,,Tangent,,,0
TUL,6,ML3,,Curve,CB_CV_003_2.689,2.689,-,-,-,-,4.034,1345,1000,Sharp Curve,RH,0,0
TUL,7,,,Tangent,CB_TG_004_4.035,4.035,,,,,4.261,226,,Tangent,,,0
TUL,8,ML4,,Curve,CB_CV_004_4.262,4.262,-,-,-,-,4.312,50,-600,Sharp Curve,LH,0,0
Main Line,9,,,Tangent,CB_TG_005_4.299,4.299,,,,,4.50611,207.11,,Tangent,,,0
CB,10,ML5,Port Loop,Curve,CB_CV_005_4.506,4.50611,4506,4561,5444,5499,5.498787,992.677,-1000,Sharp Curve,LH,20,0.0009191919192
CB,11,,,Tangent,CB_TG_006_5.499,5.498787,,,,,8.411413,2912.626,,Tangent,,,0.001874914089
CB,12,ML6,Port Loop,Curve,CB_CV_006_8.411,8.411413,8411,8466,9083,9138,9.13846,727.047,4000,Tangent,RH,15,0.0006
CB,13,,,Tangent,CB_TG_007_9.138,9.13846,,,,,12.49621,3357.75,,Tangent,,,0.0011
CB,14,ML7,Port Loop,Curve,CB_CV_007_12.496,12.49621,12496,12551,13909,13964,13.963659,1468,4000,Tangent,RH,15,0.002736986301
CB,15,,,Tangent,CB_TG_008_13.963,13.963659,,,,,16.741416,2777.757,,Tangent,,,0.001771942446
CB,16,ML8,ML,Curve,CB_CV_008_16.741,16.741416,16741.424,16796.424,16837.357,16892.357,16.892195,150.779,-5000,Tangent,LH,10,0.0003
CB,17,,,Tangent,CB_TG_009_16.892,16.892195,,,,,26.902505,10010.31,,Tangent,,,0.001247052947
CB,18,ML9,ML,Curve,CB_CV_009_26.903,26.902505,26903.659,26958.659,27370.403,27425.403,27.424501,521.996,-5000,Tangent,LH,10,0.0017
CB,19,,,Tangent,CB_TG_010_27.424,27.424501,,,,,30.779779,3355.278,,Tangent,,,0.002017857143
CB,20,ML10,ML,Curve,CB_CV_010_30.780,30.779779,30780,30835,31076,31131,31.13119,351.411,-5000,Tangent,LH,10,0.002102857143
CB,21,,,Tangent,CB_TG_011_31.131,31.13119,,,,,33.179911,2048.721,,Tangent,,,0.001996097561
CB,22,ML11,ML,Curve,CB_CV_011_33.180,33.179911,33180,33235,33458,33513,33.51303,333.119,-5000,Tangent,LH,10,0.0019
CB,23,,,Tangent,CB_TG_012_33.513,33.51303,,,,,35.743404,2230.374,,Tangent,,,0.0019
CB,24,ML12,ML,Curve,CB_CV_012_35.743,35.743404,35743.405,35798.405,35841,35896,35.895911,152.507,-5000,Tangent,LH,10,0.0013375
CB,25,,,Tangent,CB_TG_013_35.895,35.895911,,,,,39.969661,4073.75,,Tangent,,,0.001757002457
CB,26,ML13,ML,Curve,CB_CV_013_39.970,39.969661,39970,40025,40469,40524,40.524482,554.821,-5000,Tangent,LH,10,0.0009618181818
CB,27,,,Tangent,CB_TG_014_40.524,40.524482,,,,,41.827788,1303.306,,Tangent,,,0
CB,28,ML14,ML,Curve,CB_CV_014_41.828,41.827788,41828,41883,41949,42004,42.004307,176.519,-5000,Tangent,LH,10,0
CB,29,,,Tangent,CB_TG_015_42.004,42.004307,,,,,43.954474,1950.167,,Tangent,,,0.0006025641026
CB,30,ML15,ML,Curve,CB_CV_015_43.954,43.954474,43954,44009,44661,44716,44.715637,761.163,-5000,Tangent,LH,10,0.0019
CB,31,,,Tangent,CB_TG_016_44.716,44.715637,,,,,45.658933,943.296,,Tangent,,,0.001712765957
CB,32,ML16,ML,Curve,CB_CV_016_45.659,45.658933,45659,45714,47378,47433,47.43251,1773.577,-3000,Mild Curve,LH,20,0.0007028248588
CB,33,,,Tangent,CB_TG_017_47.433,47.43251,,,,,51.591491,4158.981,,Tangent,,,0.001760336538
CB,34,ML17,ML,Curve,CB_CV_017_51.591,51.591491,51591,51646,54083,54138,54.137725,2546.234,2000,Mild Curve,RH,30,0.001781568627
CB,35,,,Tangent,CB_TG_018_54.138,54.137725,,,,,57.717517,3579.792,,Tangent,,,0.003837430168
CB,36,ML18,ML,Curve,CB_CV_018_57.718,57.717517,57718,57773,59866,59921,59.920787,2203.27,-5000,Tangent,LH,10,0.00222
CB,37,,,Tangent,CB_TG_019_59.921,59.920787,,,,,61.035451,1114.664,,Tangent,,,0.003089285714
CB,38,ML19,ML,Curve,CB_CV_019_61.035,61.035451,61035,61090,61227,61282,61.281956,246.505,5000,Tangent,RH,10,0.004
CB,39,,,Tangent,CB_TG_020_61.281,61.281956,,,,,65.991703,4709.747,,Tangent,,,0.003947133758
CB,40,ML20,ML,Curve,CB_CV_020_65.992,65.991703,65992,66047,66652,66707,66.707146,715.443,-5000,Tangent,LH,10,0.0019
CB,41,,,Tangent,CB_TG_021_66.707,66.707146,,,,,75.019229,8312.083,,Tangent,,,7.18E-05
CB,42,ML21,ML,Curve,CB_CV_021_75.019,75.019229,75019,75074,75888,75943,75.942792,923.563,4000,Tangent,RH,15,0.0023
CB,43,,,Tangent,CB_TG_022_75.943,75.942792,,,,,77.329357,1386.565,,Tangent,,,9.93E-05
CB,44,ML22,ML,Curve,CB_CV_022_77.329,77.329357,77329,77384,77884,77939,77.939476,610.119,-10000,Tangent,LH,0,0
CB,45,,,Tangent,CB_TG_023_77.939,77.939476,,,,,80.252621,2313.145,,Tangent,,,0.002435064935
CB,46,ML23,ML,Curve,CB_CV_023_80.253,80.252621,80253,80308,81229,81284,81.284209,1031.588,4000,Tangent,RH,15,0.0025
CB,47,,,Tangent,CB_TG_024_81.284,81.284209,,,,,82.859421,1575.212,,Tangent,,,0.000664556962
CB,48,ML24,ML,Curve,CB_CV_024_82.859,82.859421,82859,82914,84762,84817,84.817227,1957.806,-2500,Mild Curve,LH,25,0
CB,49,,,Tangent,CB_TG_025_84.817,84.817227,,,,,86.055517,1238.29,,Tangent,,,0.001277419355
CB,50,ML25,ML,Curve,CB_CV_025_86.056,86.055517,86056,86111,86437,86492,86.491826,436.309,3000,Mild Curve,RH,20,0.0024
CB,51,,,Tangent,CB_TG_026_86.492,86.491826,,,,,91.729243,5237.417,,Tangent,,,0.002054198473
CB,52,ML26,ML,Curve,CB_CV_026_91.729,91.729243,91729,91784,92929,92984,92.984292,1255.049,5000,Tangent,RH,10,0.00236
CB,53,,,Tangent,CB_TG_027_92.984,92.984292,,,,,96.781853,3797.561,,Tangent,,,0.004235789474
CB,54,ML27,ML,Curve,CB_CV_027_96.782,96.781853,96782,96837,97631,97686,97.686442,904.589,-3000,Mild Curve,LH,20,0.0027
CB,55,,,Tangent,CB_TG_028_97.686,97.686442,,,,,99.338725,1652.283,,Tangent,,,0.003649090909
CB,56,ML28,ML,Curve,CB_CV_028_99.339,99.338725,99339,99394,100910,100965,100.964859,1626.134,5000,Tangent,RH,10,0.004079012346
CB,57,,,Tangent,CB_TG_029_100.965,100.964859,,,,,101.541684,576.825,,Tangent,,,0.0012
CB,58,ML29,ML,Curve,CB_CV_029_101.542,101.541684,101542,101597,101962,102017,102.017135,475.451,3000,Mild Curve,RH,20,0.001841666667
