Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?, WZ Level Crossing   , WZ IRJ , WZ Turnout , WZ Bridge , Asset Warning Zone? ,GBFI Max Avg,GBFI Avg of Avg,# Reasonably Fouled,# Fouled,# Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1 (Count),DTF S2 (Count),DTF S3 (Count),DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-EML-S-02887-E-02888-MAINLINE,288.69999999999715,288.79999999999717,SL / EL Section SL10,Firetail,Firetail,,0,0,0,0,No,0,0,0,0,No,36.9,21.144444444444442,7,2,0,Yes,0.30988888888888916,No,No,0.0,No,0,0,0,0,0,0.0,0.0,,Good,0,1,0,0,0,0,0,1,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02888-E-02889-MAINLINE,288.79999999999717,288.8999999999972,SL / EL Section SL10,Firetail,Firetail,Tangent,0,2,0,0,Yes,0,0,0,0,No,18.7,15.11428571428571,0,0,0,No,0.26209999999999983,No,No,0.0,No,0,0,0,0,0,0.0,0.0,,Good,1,1,0,0,0,0,0,2,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02889-E-02890-MAINLINE,288.8999999999972,288.9999999999972,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,17.5,11.799999999999997,0,0,0,No,0.2618999999999998,No,No,0.0,No,0,0,0,0,1,7.458,0.07458000000000001,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02890-E-02891-MAINLINE,288.9999999999972,289.09999999999724,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,9.9,8.466666666666667,0,0,0,No,0.2126999999999999,Yes,No,0.0,No,0,0,0,0,2,37.83,0.7565999999999999,,Critical,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,1.0,200.0
CHAIN-EML-S-02891-E-02892-MAINLINE,289.09999999999724,289.19999999999726,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,9.7,7.523809523809524,0,0,0,No,0.21439999999999992,Yes,No,0.0,No,0,0,0,0,2,37.83,0.7565999999999999,,Critical,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,1.0,200.0
CHAIN-EML-S-02892-E-02893-MAINLINE,289.19999999999726,289.2999999999973,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,9.2,7.376190476190477,0,0,0,No,0.21600000000000003,Yes,No,0.0,No,0,0,0,0,2,14.838,0.29675999999999997,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02893-E-02894-MAINLINE,289.2999999999973,289.3999999999973,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,9.2,7.604761904761905,0,0,0,No,0.20099999999999996,Yes,No,0.0,No,0,0,0,0,2,15.6465,0.31293,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02894-E-02895-MAINLINE,289.3999999999973,289.4999999999973,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,10.8,8.438095238095238,0,0,0,No,0.22349999999999964,Yes,No,0.0,No,0,0,0,0,2,15.6465,0.31293,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02895-E-02896-MAINLINE,289.4999999999973,289.59999999999735,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,11.5,9.10952380952381,0,0,0,No,0.25090000000000034,No,No,0.0,No,0,0,0,0,2,20.334,0.40668,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,2.0,200.0
CHAIN-EML-S-02896-E-02897-MAINLINE,289.59999999999735,289.6999999999974,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,11.3,9.252380952380953,0,0,0,No,0.2528000000000002,No,No,0.0,No,0,0,0,0,2,22.461,0.44921999999999995,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,2.0,200.0
CHAIN-EML-S-02897-E-02898-MAINLINE,289.6999999999974,289.7999999999974,SL / EL Section SL10,Firetail,Firetail,Tangent,1,0,0,0,Yes,0,0,0,0,No,86.0,20.33809523809524,1,0,3,Yes,0.2702000000000001,No,No,0.0,No,0,0,0,0,2,37.041,0.7408199999999999,,Critical,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02898-E-02899-MAINLINE,289.7999999999974,289.8999999999974,SL / EL Section SL10,Firetail,Firetail,Tangent,1,0,0,0,Yes,0,0,0,0,No,73.2,26.5,4,1,3,Yes,0.28049999999999975,No,No,0.0,Yes,0,0,1,0,2,37.041,0.46074,,Critical,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-02899-E-02900-MAINLINE,289.8999999999974,289.99999999999744,SL / EL Section SL10,Firetail,Firetail,Tangent,0,0,0,0,No,0,0,0,0,No,15.4,10.580952380952382,0,0,0,No,0.19469999999999976,Yes,No,0.0,Yes,0,0,1,0,2,29.802,0.59604,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,3.0,800.0
