Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Mid Pt Coord E,Mid Pt Coord N,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?,WZ Level Crossing  ,WZ IRJ,WZ Turnout,WZ Bridge,Asset Warning Zone?,GBFI Max Avg,GBFI Avg of Avg,Reasonably Fouled,Fouled,Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1,DTF S2,DTF S3,DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-MLX-S-00269-E-00270-MAINLINE,26.90000000000011,27.00000000000011,ML / SL Section 7,Nunna,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,14.4,12.628571428571428,0,0,0,No,0.277,No,No,0.0,No,0,0,0,0,3,53.2125,0.33048,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,1.0,200.0
CHAIN-MLX-S-00270-E-00271-MAINLINE,27.00000000000011,27.10000000000011,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,15.2,12.399999999999999,0,0,0,No,0.3081000000000003,No,No,0.0,No,0,0,0,0,2,53.2125,0.31092,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,1.0,200.0
CHAIN-MLX-S-00271-E-00272-MAINLINE,27.10000000000011,27.200000000000113,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,24.7,16.84285714285714,2,0,0,Yes,0.2836000000000001,No,No,0.0,No,0,0,0,0,2,11.8725,0.62184,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00272-E-00273-MAINLINE,27.200000000000113,27.300000000000114,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,18.9,15.904761904761902,0,0,0,No,0.2383999999999999,Yes,No,0.0,No,0,0,0,0,2,11.8725,0.32409,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00273-E-00274-MAINLINE,27.300000000000114,27.400000000000116,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,24.3,16.342857142857145,2,0,0,Yes,0.2129999999999999,Yes,No,0.0,No,0,0,0,0,2,13.083,0.38181,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00274-E-00275-MAINLINE,27.400000000000116,27.500000000000117,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,16.0,13.057142857142857,0,0,0,No,0.2625000000000002,No,No,0.0,No,0,0,0,0,2,13.083,0.38181,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00275-E-00276-MAINLINE,27.500000000000117,27.60000000000012,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,14.0,12.147619047619045,0,0,0,No,0.26110000000000044,No,No,0.0,No,0,0,0,0,2,14.232,0.33969,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00276-E-00277-MAINLINE,27.60000000000012,27.70000000000012,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,15.9,13.504761904761907,0,0,0,No,0.2164999999999998,Yes,No,0.0,No,0,0,0,0,2,14.232,0.3654,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00277-E-00278-MAINLINE,27.70000000000012,27.80000000000012,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,17.0,15.247619047619047,0,0,0,No,0.21169999999999972,Yes,No,0.0,No,0,0,0,0,2,14.1465,0.3654,,Good,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-MLX-S-00278-E-00279-MAINLINE,27.80000000000012,27.900000000000123,ML Section 2,Barker,East Turner,,,Tangent,0,0,0,0,No,0,0,0,0,No,17.7,15.152380952380952,0,0,0,No,0.2223000000000001,Yes,No,0.0,No,0,0,0,0,2,16.68,0.28491,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
