Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?, WZ Level Crossing   , WZ IRJ , WZ Turnout , WZ Bridge , Asset Warning Zone? ,GBFI Max Avg,GBFI Avg of Avg,# Reasonably Fouled,# Fouled,# Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History?,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1,DTF S2,DTF S3,DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-SML-S-01740-E-01741-MAINLINE,173.99999999999437,174.09999999999437,ML / SL Section 7,Nunna,Nunna,,0,0,0,0,No,0,0,0,0,No,0.0,0.0,0,0,0,No,No Data,No,No,0.0,No,0,0,0,0,2,132.3315,2.64663,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,1.0,400.0
CHAIN-SML-S-01741-E-01742-MAINLINE,174.09999999999437,174.19999999999436,ML / SL Section 7,Nunna,Nunna,,0,0,0,0,No,0,0,0,0,No,0.0,0.0,0,0,0,No,No Data,No,No,0.0,No,0,0,0,0,2,34.7835,0.6956699999999999,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,1.0,400.0
CHAIN-SML-S-01742-E-01743-MAINLINE,174.19999999999436,174.29999999999436,ML / SL Section 7,Nunna,Nunna,,0,0,0,0,No,0,0,0,0,No,0.0,0.0,0,0,0,No,No Data,No,No,0.0,No,0,0,0,0,2,23.8545,0.47709,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,1.0,400.0
CHAIN-SML-S-01743-E-01744-MAINLINE,174.29999999999436,174.39999999999435,,,Nunna,Tangent,0,0,0,0,No,0,0,0,0,No,40.1,25.712500000000002,10,3,1,Yes,0.3384146341463417,No,No,0.0,No,0,0,0,0,2,20.859,0.41718000000000005,,Poor,1,1,0,0,0,0,0,2,S3,0,Local Formation Renewal (Bog Hole),Local Formation Renewal (Bog Hole),No treatment,No treatment,No treatment,No treatment,1,1.0,400.0
CHAIN-SML-S-01744-E-01745-MAINLINE,174.39999999999435,174.49999999999434,ML Section L7,Nunna-2,Nunna,Mild Curve,0,2,0,0,Yes,0,0,0,0,No,34.2,18.47142857142857,6,1,0,Yes,0.2933999999999995,No,No,0.0,No,0,0,0,0,2,50.574,1.01148,,Critical,2,2,0,0,0,0,0,4,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01745-E-01746-MAINLINE,174.49999999999434,174.59999999999434,ML Section L7,Nunna-2,Nunna,Mild Curve,0,0,0,0,No,0,0,0,0,No,12.5,9.400000000000002,0,0,0,No,0.3546000000000004,No,No,0.0,No,0,0,0,0,2,50.574,1.01148,,Critical,1,0,1,1,0,0,0,3,S3,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,2.0,100.0
CHAIN-SML-S-01746-E-01747-MAINLINE,174.59999999999434,174.69999999999433,ML Section L7,Nunna-2,Nunna,Tangent,0,2,0,0,Yes,0,0,0,0,No,23.4,10.052380952380952,1,0,0,Yes,0.4065000000000007,No,No,0.0,No,0,0,0,0,2,48.795,0.9759,,Critical,1,1,0,0,0,0,0,2,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01747-E-01748-MAINLINE,174.69999999999433,174.79999999999433,ML Section L7,Nunna-2,Nunna,Tangent,1,0,0,0,Yes,0,0,0,0,No,16.5,12.214285714285712,0,0,0,No,0.4411000000000001,No,No,0.0,No,0,0,0,0,1,17.184,0.17184000000000002,,Satisfactory,1,0,0,0,0,0,0,1,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01748-E-01749-MAINLINE,174.79999999999433,174.89999999999432,ML Section L7,Nunna-2,Nunna,Tangent,0,4,1,0,Yes,0,0,0,0,No,30.9,18.123809523809523,4,1,0,Yes,0.4638000000000004,No,No,0.0,No,0,0,0,0,1,17.184,0.17184000000000002,,Satisfactory,3,3,0,0,0,0,0,6,S3,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01749-E-01750-MAINLINE,174.89999999999432,174.99999999999432,ML Section L7,Nunna-2,Nunna,Tangent,0,0,0,0,No,0,0,0,0,No,17.1,10.461904761904764,0,0,0,No,0.37559999999999977,No,No,0.0,No,0,0,0,0,1,17.184,0.17184000000000002,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01750-E-01751-MAINLINE,174.99999999999432,175.0999999999943,ML Section L7,Nunna-2,Nunna,Tangent,0,0,0,0,No,0,0,0,0,No,9.5,8.585714285714285,0,0,0,No,0.39650000000000035,No,Yes,198.58333333333576,No,0,0,0,0,2,21.06,0.42119999999999996,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,3.0,400.0
CHAIN-SML-S-01751-E-01752-MAINLINE,175.0999999999943,175.1999999999943,ML Section L7,Nunna-2,Nunna,Tangent,0,0,0,0,No,0,0,0,0,No,8.6,7.9714285714285715,0,0,0,No,0.4244000000000007,No,Yes,198.58333333333576,No,0,0,0,0,2,23.928,0.47856000000000004,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,3.0,400.0
CHAIN-SML-S-01752-E-01753-MAINLINE,175.1999999999943,175.2999999999943,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,19.4,11.223809523809523,0,0,0,No,0.37269999999999964,No,Yes,198.58333333333576,No,0,0,0,0,2,30.3045,0.60609,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,3.0,400.0
CHAIN-SML-S-01753-E-01754-MAINLINE,175.2999999999943,175.3999999999943,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,17.6,15.533333333333339,0,0,0,No,0.26570000000000077,No,Yes,198.58333333333576,No,0,0,0,0,2,30.3045,0.60609,,Critical,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,3.0,400.0
CHAIN-SML-S-01754-E-01755-MAINLINE,175.3999999999943,175.4999999999943,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,16.1,14.176190476190481,0,0,0,No,0.2727999999999996,No,Yes,198.58333333333576,No,0,0,0,0,2,18.1755,0.36351,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01755-E-01756-MAINLINE,175.4999999999943,175.59999999999428,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,15.7,13.37142857142857,0,0,0,No,0.27880000000000005,No,Yes,198.58333333333576,No,0,0,0,0,2,25.1835,0.50367,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,4.0,200.0
CHAIN-SML-S-01756-E-01757-MAINLINE,175.59999999999428,175.69999999999428,ML Section L7,Nunna-2,,Tangent,0,0,0,0,No,0,0,0,0,No,19.8,16.238095238095237,0,0,0,No,0.2388,Yes,Yes,198.58333333333576,No,0,0,0,0,2,25.755,0.5151,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,4.0,200.0
CHAIN-SML-S-01757-E-01758-MAINLINE,175.69999999999428,175.79999999999427,ML Section L7,Nunna-2,,Tangent,1,0,0,0,Yes,0,0,0,0,No,118.8,29.39523809523809,9,1,2,Yes,0.24099999999999966,Yes,Yes,198.58333333333576,No,0,0,0,0,2,25.755,0.5151,,Poor,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01758-E-01759-MAINLINE,175.79999999999427,175.89999999999426,ML Section L7,Nunna-2,,Tangent,0,0,0,0,No,0,0,0,0,No,20.3,18.223809523809525,1,0,0,Yes,0.21550000000000036,Yes,Yes,198.58333333333576,No,0,0,0,0,2,19.6425,0.39285,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-SML-S-01759-E-01760-MAINLINE,175.89999999999426,175.99999999999426,ML Section L7,Nunna-2,,Tangent,0,0,0,0,No,0,0,0,0,No,21.1,18.338095238095235,2,0,0,Yes,0.21649999999999997,Yes,Yes,198.58333333333576,No,0,0,0,0,2,22.2345,0.44469000000000003,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,5.0,1100.0
CHAIN-SML-S-01760-E-01761-MAINLINE,175.99999999999426,176.09999999999425,ML Section L7,Nunna-2,,Tangent,0,0,0,0,No,0,0,0,0,No,18.3,16.07142857142857,0,0,0,No,0.24059999999999987,Yes,Yes,198.58333333333576,No,0,0,0,0,2,22.2345,0.44469000000000003,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,5.0,1100.0
CHAIN-SML-S-01761-E-01762-MAINLINE,176.09999999999425,176.19999999999425,ML Section L7,Nunna-2,,Tangent,0,0,0,0,No,0,0,0,0,No,21.1,18.385714285714283,4,0,0,Yes,0.20750000000000007,Yes,Yes,198.58333333333576,No,0,0,0,0,2,21.555,0.4311,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,5.0,1100.0
CHAIN-SML-S-01762-E-01763-MAINLINE,176.19999999999425,176.29999999999424,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,21.5,19.3,6,0,0,Yes,0.21109999999999973,Yes,Yes,198.58333333333576,No,0,0,0,0,2,28.101,0.56202,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,5.0,1100.0
CHAIN-SML-S-01763-E-01764-MAINLINE,176.29999999999424,176.39999999999424,ML Section L7,Nunna-2,,Mild Curve,0,0,0,0,No,0,0,0,0,No,21.4,18.53809523809524,4,0,0,Yes,0.25780000000000003,No,Yes,198.58333333333576,No,0,0,0,0,2,28.9335,0.57867,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,5.0,1100.0
