ML/SOL,POI Type,Category,Name,Meter Marker (m),KM,Lat,Lon,Height (m)
ML,Switch,ITCS,PRT22B,4445,4.445,-20.40172781,118.5616755,0
ML,Switch,ITCS,PRT41B,5827,5.827,-20.41348685,118.5627997,14.234
ML,Switch,ITCS,PRT41A,5972,5.972,-20.41464986,118.5634707,15.038
ML,Switch,ITCS,PRT24,6116,6.116,-20.41581277,118.5640962,15.244
ML,Switch,ITCS,PRT102,6278,6.278,-20.41708022,118.5648657,16.316
ML,Switch,ITCS,PRT39,7344,7.344,-20.42571807,118.5693816,18.692
ML,Switch,ITCS,TM26A,11278,11.278,-20.4588982,118.5826049,21.36
ML,Switch,ITCS,TM26B,11484,11.484,-20.4606966,118.5831115,21.326
ML,Switch,ITCS,TM37B,11876,11.876,-20.46407688,118.5842145,22.697
ML,Switch,ITCS,TM37A,12082,12.082,-20.46583779,118.5848693,22.865
ML,Switch,ITCS,TM28,15254,15.254,-20.49413732,118.5870584,31.706
ML,Switch,ITCS,TM120,15412,15.412,-20.49556832,118.5870581,31.333
ML,Switch,ITCS,TM35,19098,19.098,-20.52884629,118.5854585,32.624
ML,Switch,ITCS,TM121,19555,19.555,-20.53295687,118.5853851,32.813
ML,Switch,ITCS,TM33,19728,19.728,-20.53451057,118.5852443,33.602
ML,Switch,ITCS,TM31,21035,21.035,-20.54636421,118.584786,35.417
ML,Switch,ITCS,TM30A,22907,22.907,-20.56321107,118.5841585,38.218
ML,Switch,ITCS,TM30B,23112,23.112,-20.56505679,118.5840095,41.338
ML,Switch,ITCS,TM29B,23577,23.577,-20.56925433,118.5838506,42.329
ML,Switch,ITCS,TM29A,23782,23.782,-20.57110698,118.5838603,41.723
ML,Switch,ITCS,ET27,30022,30.022,-20.6274184,118.5842897,49.949
ML,Switch,ITCS,BAR27,43517,43.517,-20.74691491,118.6091568,68.983
ML,Switch,ITCS,CAN22,54227,54.227,-20.81590773,118.6716999,85.988
ML,Switch,ITCS,CPN26A,68539,68.539,-20.94236677,118.6823023,131.612
ML,Switch,ITCS,CPN26B,68679,68.679,-20.94356668,118.68276,131.629
ML,Switch,ITCS,CPN28,71268,71.268,-20.96584111,118.6903349,128.556
ML,Switch,ITCS,CPN27,71729,71.729,-20.96986531,118.6916496,128.487
ML,Switch,ITCS,DRK22,93677,93.677,-21.15387837,118.754587,162.489
ML,Switch,ITCS,KNG26A,107575,107.575,-21.2685189,118.8064733,196.441
ML,Switch,ITCS,KNG26B,107781,107.781,-21.27017757,118.807366,197.763
ML,Switch,ITCS,KNG31B,107815,107.815,-21.27045685,118.8075022,197.939
ML,Switch,ITCS,KNG31A,108021,108.021,-21.27218425,118.8082473,199.24
ML,Switch,ITCS,FOR30A,125765,125.765,-21.41974176,118.8728702,254.152
ML,Switch,ITCS,FOR30B,125906,125.906,-21.42096475,118.8732448,254.288
ML,Switch,ITCS,FOR32,128079,128.079,-21.44000844,118.8783211,258.981
ML,Switch,ITCS,FOR27,133315,133.315,-21.48523254,118.8927952,269.556
ML,Switch,ITCS,HSD22,147777,147.777,-21.60146862,118.9032596,269.003
ML,Switch,ITCS,GIB22,153107,153.107,-21.64891019,118.8993789,265.957
ML,Switch,ITCS,GIB27,156700,156.7,-21.67938786,118.8879747,264.388
ML,Switch,ITCS,CON22,163917,163.917,-21.74095869,118.877783,269.867
ML,Switch,ITCS,CON24,164295,164.295,-21.74397822,118.8795008,270.842
ML,Switch,ITCS,NNA28,174319,174.319,-21.82102197,118.9299152,299.642
ML,Switch,ITCS,NNA27,174577,174.577,-21.82285888,118.9314457,300.178
ML,Switch,ITCS,NNA30A,174652,174.652,-21.82339674,118.9318919,300.325
ML,Switch,ITCS,NNA30B,174858,174.858,-21.8249087,118.9330563,301.419
ML,Switch,ITCS,HUN22,183269,183.269,-21.89330733,118.9639802,337.474
ML,Switch,ITCS,HUN27,186452,186.452,-21.91371388,118.9857491,346.903
ML,Switch,ITCS,SMT22,192977,192.977,-21.94076472,119.0385318,390.404
ML,Switch,ITCS,SMT27,197033,197.033,-21.95462545,119.0738599,403.449
ML,Switch,ITCS,MOR22,208148,208.148,-22.00276995,119.165469,417.822
ML,Switch,ITCS,MOR27,214913,214.913,-22.05710882,119.1888085,397.474
ML,Switch,ITCS,MOR24,216401,216.401,-22.06855642,119.1963367,390.278
ML,Switch,ITCS,MDN22,235452,235.452,-22.21363354,119.285349,464.318
ML,Switch,ITCS,MDN29,235838,235.838,-22.21663476,119.2872658,464.065
ML,Switch,ITCS,MDN27,239098,239.098,-22.24314342,119.3007162,470.384
ML,Switch,ITCS,CBK22,249609,249.609,-22.31141267,119.366038,454.002
ML,Switch,ITCS,CBK24A,253146,253.146,-22.32031177,119.3969667,452.996
ML,Switch,ITCS,CBK24B,253294,253.294,-22.32033611,119.3984009,454.053
