ID,Division,Subdivision,Line Code,Start Location,End Location,Segment ID,Segment Type,Segment Length,Degree of Curve,Curve Direction,Radius of Curve,Curve Elevation,TQI Geometry,Run ID TQI Geometry,L Rail Weight,R Rail Weight,L Low/High Rail,R Low/High Rail,Start Major,Start Minor,End Major,End Minor,Start Latitude,Start Longitude,End Latitude,End Longitude,Asset Name,Report Type
1568,Soloman,Nunna-2,SLB_174.319_181,178.4,178.5,41507,TANGENT,99.982346,,,,,30.0015,2024112103,,,,,178,400.434,178,500.417,-21.85249500,118.93606800,-21.85296300,118.93524100,SLB_175_181,Track Quality Indicator Summary Report
3276,Eliwana,De Gray,ELW_288.709_332.927,324.861,324.961,43216,TANGENT,99.553292,,,,,30.0075,2024111802,,,,,324,861.184,324,960.737,-22.26330000,117.74840300,-22.26352300,117.74746700,ELB_313.313_332.927,Track Quality Indicator Summary Report
1453,Mainline2,Jones to CCK,UNKNOWN,288.721,288.821,41207,TANGENT,99.980475,,,,,30.0165,2024112001,,,,,288,720.571,288,820.552,-22.40581900,119.70415600,-22.40594200,119.70511700,CCL_287.521_294.219,Track Quality Indicator Summary Report
4303,Eliwana,Future,ELB_373.11699_423.978022,413.889,413.989,44208,TANGENT,99.930552,,,,,30.0345,2024111802,,,,,413,888.695,413,988.625,-22.43158500,116.97091600,-22.43129300,116.96999700,ELB_373.11699_423.483,Track Quality Indicator Summary Report
1860,Soloman,Avon,SLB_181_214,201.875,201.974,41816,TANGENT,99.296147,,,,,30.0360,2024112103,,,,,201,874.559,201,973.855,-22.00195900,118.79447900,-22.00253000,118.79373700,SLB_195.023_208.428,Track Quality Indicator Summary Report
6281,Mainline1,Gibb,MLB_143_171,143,143.1,46186,TANGENT,99.517149,,,,,30.0480,2024112103,,,,,144,-999.755,144,-900.237,-21.56402800,118.92523100,-21.56489900,118.92499400,MLB_143_147.777,Track Quality Indicator Summary Report
2710,Soloman,Capel,SLE_259.416_262.853,260.987,261.086,42375,TANGENT,98.21033,,,,,30.1095,2024111802,,,,,260,987.403,261,85.618,-22.10987100,118.28528700,-22.11023500,118.28441800,SLE_259.416_262.853,Track Quality Indicator Summary Report
2809,Soloman,Firetail,SLB_281_303.272,301.504,301.601,42686,TANGENT,96.368455,,,,,30.1260,2024110126,,,,,301,504.395,301,600.763,-22.15953800,117.99010300,-22.16009700,117.99082000,SML_301.408_301.601,Track Quality Indicator Summary Report
2,Mainline1,Thomas,,7.442,7.54,40018,TANGENT,98.370113,,,,,30.1380,2024112103,,,,,7,441.615,7,539.986,,,,,MLB_30.022_43.538,Track Quality Indicator Summary Report
3589,Eliwana,Duck,ELW_332.926_373.117,336.311,336.41,43494,TANGENT,99.544616,,,,,30.1545,2024111802,,,,,336,310.518,336,410.063,-22.30059100,117.65192000,-22.30094700,117.65103200,ELW_332.926_354.13,Track Quality Indicator Summary Report
922,Mainline1,Thomas,UNKNOWN,-1.835,-1.736,40441,TANGENT,98.8566,,,,,30.2670,2024112001,,,,,-3,1164.986,-3,1263.843,-20.38850300,118.56896700,-20.38770700,118.56939700,PL2_-3.411_4.055,Track Quality Indicator Summary Report
3682,Eliwana,Duck,ELW_332.926_373.117,340.79,340.89,43587,TANGENT,99.544616,,,,,30.2925,2024111802,,,,,340,790.03,340,889.575,-22.32344500,117.61975200,-22.32432500,117.61955100,ELW_332.926_354.13,Track Quality Indicator Summary Report
6801,Mainline2,Nunna,MLW_171_174.319,186.462,186.561,46596,TANGENT,98.734835,,,,,30.3015,2024112001,,,,,186,462.383,186,561.118,-21.91372300,118.98573800,-21.91438200,118.98638200,MLB_186.462_192.978,Track Quality Indicator Summary Report
7471,Mainline2,Morgan,MLB_203_208.147,227.572,227.672,47495,TANGENT,99.739732,,,,,30.3075,2024112001,,,,,227,572.091,227,671.831,-22.14603100,119.26442500,-22.14687300,119.26476800,MLB_216.401_235.452,Track Quality Indicator Summary Report
1353,Mainline2,Jones to CCK,MLB_270_287.264,285.007,285.107,41414,TANGENT,99.963702,,,,,30.3180,2024112001,,,,,285,7.37,285,107.334,-22.37978500,119.68420300,-22.38058900,119.68464200,MLB_276.409_286.707,Track Quality Indicator Summary Report
7923,Mainline2,CBM,PTE_256.5_259.855,256.5,256.598,47582,TANGENT,98.65594,,,,,30.3270,2024110704,,,,,256,499.589,256,598.245,-22.32340900,119.42875000,-22.32369100,119.42965900,PTE_256.5_259.855,Track Quality Indicator Summary Report
1495,Mainline2,Jones to CCK,UNKNOWN,291.12,291.22,41334,TANGENT,99.980475,,,,,30.3360,2024112001,,,,,291,120.109,291,220.09,-22.41816100,119.72295400,-22.41870700,119.72372500,CCL_287.521_294.219,Track Quality Indicator Summary Report
2014,Soloman,Bow,SLB_214_248,236.296,236.396,41919,TANGENT,99.180812,,,,,30.4245,2024112103,,,,,236,296.397,236,395.578,-22.02485700,118.49517800,-22.02505400,118.49424100,SLB_236.296_248,Track Quality Indicator Summary Report
672,Mainline1,Thomas,UNKNOWN,19.483,19.555,40030,TANGENT,71.864855,,,,,30.4710,2024110514,,,,,19,483.449,19,555.314,-20.53231000,118.58546400,-20.53295700,118.58538200,TYX_19.411_19.555,Track Quality Indicator Summary Report
5753,Mainline1,Forrest-I,MLW_86_121,98.173,98.273,45527,TANGENT,99.924613,,,,,30.4845,2024111802,,,,,98,173.306,98,273.231,-21.19173000,118.76962500,-21.19248500,118.77015300,MLW_93.677_98.273,Track Quality Indicator Summary Report
1038,Mainline1,Thomas,UNKNOWN,18.485,18.585,40732,TANGENT,99.943841,,,,,30.4935,2024071402,,,,,18,484.637,18,584.581,-20.52329900,118.58604600,-20.52420100,118.58601200,TY2_15.788_19.185,Track Quality Indicator Summary Report
4252,Eliwana,Future,ELB_373.11699_423.978022,408.792,408.892,44157,TANGENT,99.930552,,,,,30.5055,2024111802,,,,,408,792.213,408,892.144,-22.44712800,117.01698300,-22.44697900,117.01602500,ELB_373.11699_423.483,Track Quality Indicator Summary Report
6813,Mainline2,Nunna,MLW_171_174.319,174.85,174.949,46620,TANGENT,99.024661,,,,,30.5130,2024112001,,,,,174,849.659,174,948.684,-21.82481400,118.93305800,-21.82551900,118.93364600,MLB_174.652_183.267,Track Quality Indicator Summary Report
1817,Soloman,Avon,SLB_181_214,185.781,185.881,41773,TANGENT,99.611878,,,,,30.5310,2024112103,,,,,185,780.995,185,880.607,-21.89860100,118.88531100,-21.89932700,118.88474100,SLB_181_191.459,Track Quality Indicator Summary Report
2054,Soloman,Bow,SLB_214_248,215.399,215.499,41981,TANGENT,99.929099,,,,,30.5415,2024112103,,,,,215,398.779,215,498.708,-22.05397900,118.68772700,-22.05371000,118.68680300,SLB_214_232.687,Track Quality Indicator Summary Report
5167,Mainline1,Chapman,MLE_60_86,85.9,86,45196,TANGENT,99.766931,,,,,30.5445,2024112103,,,,,85,900.211,85,999.978,-21.09259400,118.71860900,-21.09330300,118.71920200,MLB_71.734_86,Track Quality Indicator Summary Report
1677,Soloman,Avon,SLB_181_214,181.996,182.096,41609,TANGENT,99.611878,,,,,30.5490,2024112103,,,,,181,996.119,182,95.719,-21.87297100,118.90948300,-21.87363100,118.90882700,SLB_181_191.459,Track Quality Indicator Summary Report
1685,Soloman,Avon,SLB_181_214,182.195,182.295,41619,TANGENT,99.611878,,,,,30.5625,2024112103,,,,,182,195.331,182,294.943,-21.87429000,118.90817200,-21.87495000,118.90751600,SLB_181_191.459,Track Quality Indicator Summary Report
1076,Mainline1,Thomas,UNKNOWN,0.088,0.187,40829,TANGENT,98.8566,,,,,30.5640,2024112001,,,,,0,88.34,0,187.197,-20.37289800,118.56103700,-20.37267600,118.56011700,PL2_-3.411_4.055,Track Quality Indicator Summary Report
131,Mainline1,Thomas,MLE_-3.59_27,23.587,23.685,40349,TANGENT,97.191322,,,,,30.5715,2024111802,,,,,23,587.381,23,684.572,-20.56935300,118.58391800,-20.57023000,118.58388500,MLE_22.907_23.782,Track Quality Indicator Summary Report
1986,Soloman,Avon,SPW_191.459_191.711,192.978,193.076,41628,TANGENT,97.384662,,,,,30.6045,2024112103,,,,,192,978.084,193,75.638,-21.95607300,118.85797300,-21.95691900,118.85771300,SPW_191.711_195.023,Track Quality Indicator Summary Report
1198,Mainline2,Jones to CCK,MLB_270_287.264,276.409,276.509,41103,TANGENT,99.963702,,,,,30.6330,2024112001,,,,,276,408.963,276,508.927,-22.36152200,119.61304400,-22.36150900,119.61401300,MLB_276.409_286.707,Track Quality Indicator Summary Report
6670,Mainline1,Gibb,PTE_153.085_156.701,156.408,156.505,46447,TANGENT,97.745498,,,,,30.6480,2024112005,,,,,156,407.628,156,505.374,-21.67706400,118.88933500,-21.67785000,118.88890500,PTE_153.085_156.701,Track Quality Indicator Summary Report
