Name,Latitude (Decimal degree),Longitude (Decimal degree),Track,Approx Track location    (km +50m),IRV Channel which measured location,Track Features,Units of data,Recent Hit Rate %,Severity,Recent Max,Recent Average,Getting Worse?,Days S1
1.001,-21.74338889,118.87908333,MAINLINE,164.219,Suspension Travel,Crossing,mm,0.04,1,10.1,2.4,Yes,No Trend
2.001,-20.62738889,118.58427778,MAINLINE,30.019,SF Accel West,"POS, IRJ",g,0.96,2,25.8,16.8,No,No Trend
2.002,-20.62738889,118.58427778,MAINLINE,30.019,SF Accel East,"POS, IRJ",g,0.96,2,31.2,16.2,No,No Trend
2.003,-20.69702778,118.59525000,MAINLINE,37.819,Suspension Travel,,mm,0.04,2,9.9,1.1,Yes,No Trend
2.004,-20.69702778,118.59525000,MAINLINE,37.819,Bounce,,mm,0.04,2,8.5,0.8,Yes,No Trend
2.005,-20.69747222,118.59533333,MAINLINE,37.869,Suspension Travel,,mm,0.72,2,8.3,3.2,No,No Trend
2.006,-20.69747222,118.59533333,MAINLINE,37.869,Bounce,,mm,0.56,2,7.7,2.9,No,No Trend
2.007,-20.74588889,118.60880556,MAINLINE,43.419,Suspension Travel,POS,mm,0.32,2,6.7,2.3,Yes,No Trend
2.008,-20.74675000,118.60911111,MAINLINE,43.519,SF Accel West,"IRJ, POS",g,0.88,2,26.6,11.3,No,No Trend
2.009,-20.85891667,118.66355556,MAINLINE,59.077,SF Accel West,IRJ,g,0.87,2,25.6,16.1,Yes,No Trend
2.01,-21.18558333,118.76550000,MAINLINE,97.369,Suspension Travel,Crossing,mm,0.48,2,6.9,3.4,Yes,No Trend
2.011,-21.18558333,118.76550000,MAINLINE,97.369,Bounce,Crossing,mm,0.26,2,6.1,2.7,Yes,No Trend
2.012,-21.20791667,118.78002778,MAINLINE,100.269,Suspension Travel,,mm,0.83,2,8.5,5.3,No,No Trend
2.013,-21.51744444,118.90047222,MAINLINE,136.969,Suspension Travel,Crossing,mm,0.32,2,7.5,2.7,No,No Trend
2.014,-21.51786111,118.90061111,MAINLINE,137.019,Suspension Travel,Crossing,mm,0.52,2,6.5,2.9,No,No Trend
2.015,-21.58769444,118.90936111,MAINLINE,146.119,Suspension Travel,,mm,0.76,2,6.8,4.3,No,No Trend
2.016,-21.58808333,118.90911111,MAINLINE,146.169,Suspension Travel,,mm,0.12,2,6.7,1.6,No,No Trend
2.017,-21.60358333,118.90269444,MAINLINE,148.019,SF Accel West,,g,0.44,2,25.7,6.7,Yes,No Trend
2.018,-21.74338889,118.87908333,MAINLINE,164.219,Bounce,Crossing,mm,0.04,2,8.2,1.8,No,No Trend
2.019,-21.74580556,118.88038889,MAINLINE,164.519,SF Accel West,,g,0.6,2,25.2,11.7,Yes,No Trend
2.02,-21.81783333,118.92725000,MAINLINE,173.869,SF Accel East,,g,0.92,2,26.1,13.6,Yes,No Trend
2.021,-21.85202778,118.94636111,MAINLINE,178.219,SF Accel West,,g,0.5,2,29.7,8,No,No Trend
2.022,-21.85202778,118.94636111,MAINLINE,178.219,SF Accel East,,g,0.36,2,32.7,7.6,No,No Trend
2.023,-21.86325000,118.94747222,MAINLINE,179.469,SF Accel East,,g,0.14,2,27.3,7.1,Yes,No Trend
2.024,-21.87636111,118.95263889,MAINLINE,181.019,SF Accel West,,g,1,2,27.9,15.8,Yes,No Trend
2.025,-21.87636111,118.95263889,MAINLINE,181.019,SF Accel East,,g,1,2,27.3,15.7,No,No Trend
2.026,-21.87761111,118.95322222,MAINLINE,181.169,SF Accel East,,g,1,2,30.1,16.6,Yes,No Trend
2.027,-21.94072222,119.03505556,MAINLINE,192.619,SF Accel East,,g,0.93,2,28.1,11.9,Yes,No Trend
2.028,-21.96238889,118.85611111,SOLOMON,193.703,SF Accel East,,g,0.82,2,27.9,12.7,No,No Trend
2.029,-21.97975000,118.84341667,SOLOMON,196.053,SF Accel West,,g,0.73,2,25.3,11.4,No,No Trend
2.03,-21.98011111,118.84311111,SOLOMON,196.103,SF Accel East,,g,0.82,2,25.2,11.2,No,No Trend
2.031,-21.95552778,119.07536111,MAINLINE,197.219,SF Accel West,,g,1,2,28.7,15,No,No Trend
2.032,-21.95552778,119.07536111,MAINLINE,197.219,SF Accel East,,g,1,2,28.7,15.3,No,No Trend
2.033,-21.98191667,119.11836111,MAINLINE,202.569,SF Accel East,,g,1,2,25.2,12.8,Yes,No Trend
2.034,-21.98375000,119.12169444,MAINLINE,202.969,SF Accel West,,g,1,2,30.7,17.5,No,No Trend
2.035,-21.98375000,119.12169444,MAINLINE,202.969,SF Accel East,,g,1,2,31.5,19.1,No,No Trend
2.036,-21.98397222,119.12211111,MAINLINE,203.019,SF Accel West,,g,0.43,2,32.7,7.1,No,No Trend
2.037,-21.98805556,119.14075000,MAINLINE,205.019,SF Accel West,,g,1,2,26.8,12.6,No,No Trend
2.038,-21.98805556,119.14075000,MAINLINE,205.019,SF Accel East,,g,0.86,2,33.1,13.8,No,No Trend
2.039,-21.98894444,119.14300000,MAINLINE,205.269,SF Accel East,,g,0.86,2,29.9,11.4,No,No Trend
2.04,-21.99119444,119.14880556,MAINLINE,205.919,SF Accel East,,g,0.64,2,30.9,9.8,Yes,No Trend
2.041,-21.99136111,119.14925000,MAINLINE,205.969,SF Accel East,,g,0.57,2,31.9,9.6,No,No Trend
2.042,-21.99155556,119.14969444,MAINLINE,206.019,SF Accel East,,g,0.93,2,30.2,14.5,No,No Trend
2.043,-21.99344444,119.15461111,MAINLINE,206.569,SF Accel West,,g,0.71,2,26.1,8.2,No,No Trend
2.044,-21.99363889,119.15505556,MAINLINE,206.619,SF Accel West,,g,1,2,27.5,15,No,No Trend
2.045,-21.99363889,119.15505556,MAINLINE,206.619,SF Accel East,,g,0.86,2,32.9,16.8,No,No Trend
2.046,-22.00213889,119.16513889,MAINLINE,208.069,SF Accel West,"POS, IRJ",g,0.86,2,27.6,13.9,Yes,No Trend
2.047,-22.00213889,119.16513889,MAINLINE,208.069,SF Accel East,"POS, IRJ",g,0.93,2,27.5,12.6,Yes,No Trend
2.048,-22.04975000,118.74405556,SOLOMON,209.353,SF Accel West,,g,1,2,26,17.2,Yes,No Trend
2.049,-22.05583333,118.70297222,SOLOMON,213.803,SF Accel East,IRJ,g,0.91,2,26.2,14.6,Yes,No Trend
2.05,-22.07480556,119.20138889,MAINLINE,217.269,Suspension Travel,Crossing,mm,0.15,2,6.6,2.1,Yes,No Trend
2.051,-22.07516667,119.20169444,MAINLINE,217.319,Suspension Travel,Crossing,mm,0.38,2,6.8,2.6,Yes,No Trend
2.052,-22.08322222,119.20872222,MAINLINE,218.469,Suspension Travel,,mm,0.69,2,8.8,3.3,No,No Trend
2.053,-22.08322222,119.20872222,MAINLINE,218.469,Bounce,,mm,0.38,2,7.1,2.5,Yes,No Trend
2.054,-22.09522222,119.21975000,MAINLINE,220.219,SF Accel East,Crossing,g,1,2,26.8,15.6,No,No Trend
2.055,-22.09897222,119.22322222,MAINLINE,220.769,SF Accel East,,g,1,2,30.1,19.9,No,No Trend
2.056,-22.10783333,119.22988889,MAINLINE,221.969,SF Accel East,,g,1,2,26.6,15,No,No Trend
2.057,-22.12108333,119.23913889,MAINLINE,223.719,SF Accel East,,g,0.92,2,29.6,14.5,No,No Trend
2.058,-22.12147222,119.23938889,MAINLINE,223.769,SF Accel East,,g,0.38,2,28.4,8.4,Yes,No Trend
2.059,-22.14313889,119.26297222,MAINLINE,227.219,Suspension Travel,Crossing,mm,0.15,2,7.2,2,Yes,No Trend
2.06,-22.01938889,118.52694444,SOLOMON,232.953,SF Accel East,,g,0.55,2,28.4,8.5,Yes,No Trend
2.061,-22.19488889,119.27950000,MAINLINE,233.269,SF Accel West,,g,0.46,2,26.6,7.4,Yes,No Trend
2.062,-22.19533333,119.27958333,MAINLINE,233.319,SF Accel West,,g,1,2,27.7,13,No,No Trend
2.063,-22.19533333,119.27958333,MAINLINE,233.319,SF Accel East,,g,1,2,27,14,No,No Trend
2.064,-22.21608333,119.28694444,MAINLINE,235.769,SF Accel West,"IRJ, POS",g,1,2,26.7,15.6,Yes,No Trend
2.065,-22.28694444,119.32902778,MAINLINE,244.869,SF Accel East,,g,1,2,27.6,16.5,No,No Trend
2.066,-22.09955556,118.30991667,SOLOMON,258.203,SF Accel West,,g,1,2,29.4,16.1,No,No Trend
2.067,-22.09955556,118.30991667,SOLOMON,258.203,SF Accel East,,g,1,2,26.2,16.7,No,No Trend
2.068,-22.28827778,117.70766667,ELIWANA,330.004,Suspension Travel,,mm,1,2,6.6,3.7,No,No Trend
3.001,-20.39786111,118.56383333,MAINLINE,-3.581,SF Accel West,"IRJ, POS",g,0.26,3,13.7,7.4,No,No Trend
3.002,-20.39786111,118.56383333,MAINLINE,-3.581,SF Accel East,"IRJ, POS",g,0.04,3,11.9,5.2,No,No Trend
3.003,-20.39744444,118.56405556,MAINLINE,-3.531,SF Accel West,"POS, IRJ",g,0.13,3,11.7,6.2,No,No Trend
3.004,-20.39744444,118.56405556,MAINLINE,-3.531,SF Accel East,"POS, IRJ",g,0.04,3,10.4,5.6,No,No Trend
