Name,Network,Chainage 12d (m),Offset,Easting,Northing,RL (m),Latitude,Longitude
PRT47,#N/A,3944.673,0,663195.053,7743734.668,,-20.397674,118.563922
PRT49,#N/A,3784.752,0,663275.268,7743872.994,,-20.396418,118.564677
PRT45,#N/A,-3672.971,0,663129.347,7743633.693,,-20.398592,118.563301
PRT43,#N/A,4160.545,4.998,663090.741,7743545.606,,-20.399391,118.562939
PRT22A,#N/A,4309.856,0,663026.087,7743410.926,,-20.400613,118.562332
PRT22B,#N/A,4445.434,4.999,662958.925,7743293.046,,-20.401684,118.561699
PRT41B,#N/A,5836.098,5,663062.858,7741979.243,,-20.413542,118.562815
PRT41A,#N/A,5971.553,0,663127.074,7741859.872,,-20.414615,118.563441
PRT24,#N/A,6126.913,0,663195.579,7741720.432,,-20.415869,118.564110
PRT39,#N/A,7343.684,0,663732.105,7740628.336,,-20.425687,118.569351
TM26A,#N/A,11289.152,0,665080.315,7736932.391,,-20.458955,118.582612
TM26B,#N/A,11484.341,8,665128.206,7736743,,-20.460661,118.583088
TM37B,#N/A,11886.779,8,665242.758,7736357.21,,-20.464136,118.584222
TM37A,#N/A,12081.851,0,665305.953,7736172.485,,-20.465799,118.584845
TM28,#N/A,15259.463,-0.001,665505.576,7733032.253,,-20.494146,118.587050
TM35,#N/A,19105.717,0,665301.429,7729191.587,,-20.528856,118.585450
TM33,#N/A,19718.588,0,665273.663,7728579.345,,-20.534388,118.585240
TM31,#N/A,21045.873,0,665213.531,7727253.423,,-20.546370,118.584787
TM30A,#N/A,22917.623,0,665128.732,7725383.596,,-20.563267,118.584148
TM30B,#N/A,23111.956,8,665111.936,7725189.824,,-20.565019,118.584005
TM29B,#N/A,23587.755,8,665090.38,7724714.514,,-20.569314,118.583843
TM29A,#N/A,23781.741,0,665089.584,7724520.365,,-20.571068,118.583853
ET27,#N/A,30022,0,665073.234,7718286.539,,-20.627377,118.584278
BAR27,#N/A,43543.553,0,667534.388,7705027.397,,-20.746921,118.609154
CAN22,#N/A,54237.964,0,673966.752,7697317.757,,-20.815965,118.671684
CPN26A,#N/A,68543.553,0,674924.985,7683311.357,,-20.942379,118.682297
CPN26B,#N/A,68678.9,-5,674969.589,7683183.473,,-20.943530,118.682739
CPN28,#N/A,71273.376,-5,675733.013,7680703.859,,-20.965852,118.690330
CPN27,#N/A,71738.964,0,675865.234,7680257.412,,-20.969872,118.691647
DRK22,#N/A,93687.948,0,682186.809,7659809.014,,-21.153934,118.754597
KNG26A,#N/A,107585.902,0,687431.388,7647056.506,,-21.268570,118.806489
KNG26B,#N/A,107781.175,-8,687517.442,7646881.034,,-21.270145,118.807337
KNG31B,#N/A,107825.752,-8,687535.415,7646840.24,,-21.270512,118.807515
KNG31A,#N/A,108021.056,-0.001,687606.839,7646658.29,,-21.272148,118.808223
FOR30A,#N/A,125770.551,0,694120.282,7630237.526,,-21.419749,118.872860
FOR30B,#N/A,125906.191,-4.999,694156.466,7630106.706,,-21.420926,118.873224
FOR32,#N/A,128084.881,-5,694659.548,7627986.895,,-21.440015,118.878321
FOR27,#N/A,133315.214,0,696098.029,7622966.596,,-21.485193,118.892781
HSD22,#N/A,147787.86,0,697025.285,7610072.326,,-21.601527,118.903245
CON22,#N/A,163927.91,0,694203.846,7594659.862,,-21.741012,118.877804
CON24,#N/A,164302.502,-8,694375.409,7594326.772,,-21.744001,118.879501
GIB22,#N/A,153090.338,0,696559.956,7604828.822,,-21.648927,118.899371
GIB27,#N/A,156706.269,0,695338.606,7601469.305,,-21.679398,118.887969
